Date,Store Name,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6
2021-01-01,Store_B,66,110,79,79,33,42
2021-01-02,Store_B,268,57,74,59,77,2
2021-01-03,Store_B,210,194,147,87,55,29
2021-01-04,Store_B,175,60,57,26,63,37
2021-01-05,Store_B,169,45,122,75,51,24
2021-01-06,Store_B,292,149,124,69,39,33
2021-01-07,Store_B,103,82,117,82,45,27
2021-01-08,Store_B,198,169,74,45,12,40
2021-01-09,Store_B,89,141,134,98,26,30
2021-01-10,Store_B,228,146,111,11,69,44
2021-01-11,Store_B,282,62,102,67,27,44
2021-01-12,Store_B,60,128,72,10,69,20
2021-01-13,Store_B,50,116,110,98,11,46
2021-01-14,Store_B,279,149,133,32,31,32
2021-01-15,Store_B,159,42,98,10,22,39
2021-01-16,Store_B,203,100,60,91,44,5
2021-01-17,Store_B,112,197,60,28,67,31
2021-01-18,Store_B,259,110,135,96,29,22
2021-01-19,Store_B,240,54,48,50,54,37
2021-01-20,Store_B,242,104,101,46,50,21
2021-01-21,Store_B,193,196,81,84,66,23
2021-01-22,Store_B,95,130,25,64,40,1
2021-01-23,Store_B,109,124,48,63,19,25
2021-01-24,Store_B,67,110,92,65,58,23
2021-01-25,Store_B,58,80,20,35,17,32
2021-01-26,Store_B,111,82,137,33,58,25
2021-01-27,Store_B,141,179,87,37,7,16
2021-01-28,Store_B,75,133,111,63,77,20
2021-01-29,Store_B,166,174,33,28,51,37
2021-01-30,Store_B,72,103,88,29,26,26
2021-01-31,Store_B,63,113,124,98,15,36
2021-02-01,Store_B,123,130,27,32,74,22
2021-02-02,Store_B,76,33,106,19,31,40
2021-02-03,Store_B,219,47,68,71,10,23
2021-02-04,Store_B,171,58,148,60,6,47
2021-02-05,Store_B,190,167,103,35,58,36
2021-02-06,Store_B,80,147,23,69,11,44
2021-02-07,Store_B,142,197,28,89,32,6
2021-02-08,Store_B,293,130,149,38,55,4
2021-02-09,Store_B,214,80,46,31,54,29
2021-02-10,Store_B,248,86,102,25,13,49
2021-02-11,Store_B,277,144,80,38,33,26
2021-02-12,Store_B,290,195,90,75,77,6
2021-02-13,Store_B,177,41,95,34,65,21
2021-02-14,Store_B,173,78,86,79,27,35
2021-02-15,Store_B,184,144,74,76,29,41
2021-02-16,Store_B,252,52,90,44,33,13
2021-02-17,Store_B,241,112,126,20,44,44
2021-02-18,Store_B,189,74,144,24,45,40
2021-02-19,Store_B,177,139,49,84,33,12
2021-02-20,Store_B,257,34,85,13,39,3
2021-02-21,Store_B,193,175,62,71,25,10
2021-02-22,Store_B,150,121,84,74,27,44
2021-02-23,Store_B,283,73,63,92,10,36
2021-02-24,Store_B,218,97,49,42,8,25
2021-02-25,Store_B,260,137,88,96,54,22
2021-02-26,Store_B,188,158,72,40,53,18
2021-02-27,Store_B,76,129,111,66,25,1
2021-02-28,Store_B,145,192,21,13,41,43
2021-03-01,Store_B,289,159,119,16,35,0
2021-03-02,Store_B,88,34,72,83,24,14
2021-03-03,Store_B,256,98,42,21,40,38
