Date,Store Name,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6
2021-01-01,Store_C,232,184,53,75,33,12
2021-01-02,Store_C,299,38,91,91,16,22
2021-01-03,Store_C,162,196,143,38,24,19
2021-01-04,Store_C,235,191,126,57,12,24
2021-01-05,Store_C,224,72,125,86,61,19
2021-01-06,Store_C,223,184,131,51,8,32
2021-01-07,Store_C,57,163,127,12,25,43
2021-01-08,Store_C,200,51,28,42,40,44
2021-01-09,Store_C,107,121,44,65,19,10
2021-01-10,Store_C,290,166,67,35,16,45
2021-01-11,Store_C,63,64,93,60,10,45
2021-01-12,Store_C,236,165,97,96,72,19
2021-01-13,Store_C,85,189,96,23,13,10
2021-01-14,Store_C,181,141,108,74,77,36
2021-01-15,Store_C,264,38,67,36,29,40
2021-01-16,Store_C,289,83,133,11,22,37
2021-01-17,Store_C,76,147,58,18,35,25
2021-01-18,Store_C,145,48,40,91,44,3
2021-01-19,Store_C,268,189,122,82,31,46
2021-01-20,Store_C,279,190,121,15,38,10
2021-01-21,Store_C,82,82,54,49,74,2
2021-01-22,Store_C,97,164,65,52,46,5
2021-01-23,Store_C,97,167,70,18,11,34
2021-01-24,Store_C,187,41,70,17,79,49
2021-01-25,Store_C,105,136,71,27,33,43
2021-01-26,Store_C,114,105,59,95,27,3
2021-01-27,Store_C,162,79,41,58,76,39
2021-01-28,Store_C,266,125,147,98,34,39
2021-01-29,Store_C,119,139,30,31,22,31
2021-01-30,Store_C,172,92,98,31,5,19
2021-01-31,Store_C,107,54,29,99,44,7
2021-02-01,Store_C,282,76,76,53,44,28
2021-02-02,Store_C,218,115,111,78,52,46
2021-02-03,Store_C,155,30,47,41,9,19
2021-02-04,Store_C,134,110,105,10,6,48
2021-02-05,Store_C,145,199,124,60,21,41
2021-02-06,Store_C,173,91,84,41,30,43
2021-02-07,Store_C,130,139,34,66,37,48
2021-02-08,Store_C,94,148,33,57,35,6
2021-02-09,Store_C,279,111,120,38,72,18
2021-02-10,Store_C,151,62,71,63,39,24
2021-02-11,Store_C,175,81,38,10,45,30
2021-02-12,Store_C,74,178,132,50,71,0
2021-02-13,Store_C,99,161,38,82,5,34
2021-02-14,Store_C,241,174,56,28,20,41
2021-02-15,Store_C,69,181,51,21,24,5
2021-02-16,Store_C,84,179,100,38,38,16
2021-02-17,Store_C,169,76,73,61,28,9
2021-02-18,Store_C,226,164,108,96,61,41
2021-02-19,Store_C,93,102,80,22,7,17
2021-02-20,Store_C,275,59,129,32,41,12
2021-02-21,Store_C,269,156,85,46,24,13
2021-02-22,Store_C,298,190,83,53,37,19
2021-02-23,Store_C,135,181,99,68,75,10
2021-02-24,Store_C,128,187,140,15,65,4
2021-02-25,Store_C,244,143,120,27,10,29
2021-02-26,Store_C,137,149,127,15,39,18
2021-02-27,Store_C,166,160,91,92,62,9
2021-02-28,Store_C,135,53,105,98,67,30
2021-03-01,Store_C,282,98,85,91,56,43
2021-03-02,Store_C,240,112,56,13,12,14
2021-03-03,Store_C,258,186,107,81,26,23
2021-03-04,Store_C,198,164,147,82,8,43
2021-03-05,Store_C,225,168,21,80,61,15
2021-03-06,Store_C,82,160,100,88,49,28
2021-03-07,Store_C,59,138,28,98,15,38
2021-03-08,Store_C,91,69,86,98,46,21
2021-03-09,Store_C,279,52,57,45,31,23
2021-03-10,Store_C,54,75,43,50,70,31
2021-03-11,Store_C,113,133,53,32,69,35
2021-03-12,Store_C,255,52,111,87,59,7
2021-03-13,Store_C,136,122,124,25,34,32
2021-03-14,Store_C,97,55,110,22,29,39
2021-03-15,Store_C,79,191,38,49,69,17
2021-03-16,Store_C,219,118,123,69,19,1
2021-03-17,Store_C,258,87,45,62,68,26
2021-03-18,Store_C,212,55,123,86,72,42
2021-03-19,Store_C,117,162,136,95,34,42
2021-03-20,Store_C,195,82,142,18,23,40
2021-03-21,Store_C,142,117,147,62,41,18
2021-03-22,Store_C,231,39,44,75,36,48
2021-03-23,Store_C,225,116,112,97,58,42
2021-03-24,Store_C,196,150,130,82,34,13
2021-03-25,Store_C,169,142,96,41,48,41
2021-03-26,Store_C,185,113,83,24,70,9
2021-03-27,Store_C,108,89,61,49,71,46
2021-03-28,Store_C,86,161,34,47,42,27
2021-03-29,Store_C,133,76,142,16,44,48
2021-03-30,Store_C,110,168,80,91,69,6
2021-03-31,Store_C,285,114,55,20,69,35
2021-04-01,Store_C,111,184,133,56,65,34
2021-04-02,Store_C,298,152,67,35,61,5
2021-04-03,Store_C,237,75,70,93,63,31
